"word" "freq"
"excited" "excited" 33
"feeling" "feeling" 33
"hours" "hours" 33
"large" "large" 33
"learn" "learn" 33
"local" "local" 33
"money" "money" 33
"remember" "remember" 33
"saw" "saw" 33
"watching" "watching" 33
"asked" "asked" 32
"cute" "cute" 32
"eat" "eat" 32
"finally" "finally" 32
"giving" "giving" 32
"high" "high" 32
"sweet" "sweet" 32
"told" "told" 32
"brewing" "brewing" 31
"caf" "caf" 31
"call" "call" 31
"community" "community" 31
"far" "far" 31
"forget" "forget" 31
"forgot" "forgot" 31
"fresh" "fresh" 31
"guess" "guess" 31
"idea" "idea" 31
"playing" "playing" 31
"youve" "youve" 31
"amazon" "amazon" 30
"business" "business" 30
"cake" "cake" 30
"cool" "cool" 30
"die" "die" 30
"gift" "gift" 30
"gone" "gone" 30
"green" "green" 30
"leave" "leave" 30
"maker" "maker" 30
"mind" "mind" 30
"sometimes" "sometimes" 30
"theyre" "theyre" 30
"twitter" "twitter" 30
"barista" "barista" 29
"beautiful" "beautiful" 29
"cars" "cars" 29
"dunkin" "dunkin" 29
"extra" "extra" 29
"face" "face" 29
"gave" "gave" 29
"instant" "instant" 29
"least" "least" 29
"less" "less" 29
"red" "red" 29
"sounds" "sounds" 29
"todays" "todays" 29
"together" "together" 29
"writing" "writing" 29
"wrong" "wrong" 29
"bag" "bag" 28
"coffeelover" "coffeelover" 28
"couple" "couple" 28
"end" "end" 28
"game" "game" 28
"hands" "hands" 28
"heart" "heart" 28
"later" "later" 28
"name" "name" 28
"nap" "nap" 28
"part" "part" 28
"roast" "roast" 28
"running" "running" 28
"shot" "shot" 28
"taking" "taking" 28
"thinking" "thinking" 28
"totally" "totally" 28
"called" "called" 27
"definitely" "definitely" 27
"mom" "mom" 27
"news" "news" 27
"team" "team" 27
"tuesdaythoughts" "tuesdaythoughts" 27
"woman" "woman" 27
"came" "came" 26
"company" "company" 26
"funny" "funny" 26
"hey" "hey" 26
"omg" "omg" 26
"post" "post" 26
"question" "question" 26
"says" "says" 26
"send" "send" 26
